,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39
P29,5.05,5.57,1.46,2.53,4.28,4.55,3.34,3.78,4.98,5.38,0.45,6.69,1.07,2.95,2.54,3.4,0.65,1.27,5.44,3.3,5.14,5.57,6.04,9.65,6.45,9.15,6.45,6.16,0.0,4.55,4.55,3.02,2.46,9.94,9.73,10.16,3.98,9.82,6.05
P30,8.67,6.81,5.2,4.13,0.38,6.7,7.51,7.41,8.61,9.01,4.71,4.14,4.82,1.79,4.54,3.42,4.09,5.02,8.5,6.93,3.72,6.81,8.95,11.69,8.89,11.44,8.89,5.93,4.55,0.0,0.0,6.73,3.24,12.2,12.02,12.45,8.15,12.11,5.97
P31,8.67,6.81,5.2,4.13,0.38,6.7,7.51,7.41,8.61,9.01,4.71,4.14,4.82,1.79,4.54,3.42,4.09,5.02,8.5,6.93,3.72,6.81,8.95,11.69,8.89,11.44,8.89,5.93,4.55,0.0,0.0,6.73,3.24,12.2,12.02,12.45,8.15,12.11,5.97
P32,2.63,4.81,4.19,5.11,6.9,3.03,2.74,1.19,2.56,2.97,2.85,7.53,4.09,5.66,2.78,5.66,3.68,4.29,3.02,1.06,7.4,4.81,3.62,7.24,4.03,6.74,4.03,6.4,3.02,6.83,6.83,0.0,5.49,7.52,7.32,7.75,2.22,7.4,8.9
P33,7.51,7.7,2.21,0.89,2.78,6.78,4.43,6.24,7.44,7.82,2.91,5.19,1.87,1.45,4.76,1.68,2.04,2.07,7.9,5.76,3.43,7.7,8.5,12.12,8.91,11.61,8.91,6.85,2.46,3.15,3.15,5.49,0.0,12.4,12.19,12.62,5.07,12.28,4.24
P34,6.25,5.42,11.14,12.06,11.68,6.27,9.15,6.34,6.19,6.59,9.78,8.82,11.31,12.03,8.4,12.62,10.89,11.33,4.5,6.64,13.51,5.42,4.48,0.98,3.49,0.79,3.49,6.49,10.23,12.06,12.06,7.52,12.46,0.0,1.37,1.66,8.23,1.78,15.71
P35,6.05,5.21,10.94,11.86,11.62,6.06,8.95,6.13,5.98,6.38,9.58,8.76,11.1,11.82,8.2,12.41,10.68,11.12,4.29,6.43,13.44,5.21,4.27,1.08,3.28,0.58,3.28,6.43,10.02,11.99,11.99,7.32,12.25,1.21,0.0,0.43,8.02,0.77,15.5
P36,6.48,5.64,11.37,12.29,12.0,6.49,9.38,6.56,6.41,6.81,10.01,9.14,11.53,12.25,8.63,12.84,11.11,11.55,4.72,6.86,13.82,5.64,4.7,1.3,3.71,1.01,3.71,6.8,10.45,12.37,12.37,7.75,12.68,1.2,0.43,0.0,8.45,1.2,15.93
P37,3.34,6.74,3.26,4.19,7.69,4.24,1.27,1.89,3.27,3.09,3.82,9.74,3.65,6.36,4.99,4.74,4.21,3.45,3.73,2.27,6.47,6.74,4.33,7.94,4.74,7.44,4.74,8.61,3.98,8.07,8.07,2.22,5.07,8.23,8.02,8.45,0.0,8.11,7.97
P38,6.13,5.29,11.02,11.94,11.7,6.15,9.03,6.21,6.06,6.46,9.66,8.84,11.18,11.9,8.28,12.49,10.76,11.2,4.37,6.51,13.53,5.29,4.35,1.53,3.36,1.03,3.36,6.51,10.11,12.07,12.07,7.4,12.33,1.81,0.77,1.2,8.1,0.0,15.58
P39,10.96,10.95,5.33,4.11,5.51,10.02,7.33,9.52,10.89,10.71,6.5,7.92,5.47,4.18,8.01,3.23,5.63,5.52,11.35,9.36,3.14,10.95,11.95,15.42,12.22,14.92,12.22,10.1,6.05,5.89,5.89,8.9,4.24,15.71,15.5,15.93,7.97,15.58,0.0
