,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39
P20,1.53,3.07,3.94,4.61,5.13,1.36,2.86,0.35,1.43,1.71,2.43,6.29,3.58,4.66,2.09,5.2,3.17,3.76,1.7,0.0,6.42,3.07,2.16,5.24,2.42,4.96,2.42,4.38,2.73,5.1,5.1,0.76,4.42,5.7,5.35,5.64,1.95,5.39,6.65
P21,7.21,7.07,2.24,1.28,3.35,6.22,4.12,6.03,7.11,7.24,3.46,6.38,2.6,2.21,4.88,0.69,2.92,2.42,7.38,5.68,0.0,7.07,7.83,10.5,7.68,10.22,7.68,7.32,3.16,3.6,3.6,5.28,2.02,10.96,10.61,10.9,4.68,10.66,1.84
P22,3.47,0.0,5.12,5.79,4.97,1.99,5.61,3.41,3.24,3.79,3.61,4.0,4.76,5.17,2.7,6.38,4.36,4.95,2.06,3.07,7.61,0.0,2.43,3.61,1.76,3.59,1.76,2.07,3.91,4.94,4.94,3.33,5.6,4.13,3.98,4.27,5.02,4.03,7.83
P23,1.69,2.43,5.88,6.55,6.45,2.02,4.63,1.99,1.26,2.01,4.37,6.43,5.52,6.39,3.46,7.14,5.11,5.71,0.47,2.16,8.36,2.43,0.0,3.55,0.73,3.26,0.73,4.5,4.67,6.42,6.42,2.88,6.36,4.0,3.65,3.94,3.72,3.7,8.59
P24,4.95,3.61,8.56,9.23,8.58,4.7,7.71,5.06,4.72,5.27,7.04,6.77,8.2,8.78,6.13,9.82,7.79,8.38,3.54,5.24,11.04,3.61,3.55,0.0,2.82,0.34,2.82,4.89,7.34,8.55,8.55,5.95,9.04,0.67,0.73,1.02,6.8,1.02,11.27
P25,2.13,1.76,5.73,6.41,6.31,1.88,4.89,2.24,1.9,2.44,4.22,5.77,5.38,6.24,3.31,6.99,4.97,5.56,0.72,2.42,8.22,1.76,0.73,2.82,0.0,2.54,0.0,3.83,4.52,6.27,6.27,3.13,6.22,3.28,2.93,3.22,3.98,2.97,8.45
P26,4.66,3.59,8.27,8.94,8.56,4.41,7.42,4.78,4.44,4.98,6.76,6.81,7.91,8.76,5.85,9.53,7.5,8.1,3.26,4.96,10.76,3.59,3.26,0.34,2.54,0.0,2.54,4.93,7.06,8.53,8.53,5.67,8.75,0.74,0.39,0.68,6.51,0.68,10.98
P27,2.13,1.76,5.73,6.41,6.31,1.88,4.89,2.24,1.9,2.44,4.22,5.77,5.38,6.24,3.31,6.99,4.97,5.56,0.72,2.42,8.22,1.76,0.73,2.82,0.0,2.54,0.0,3.83,4.52,6.27,6.27,3.13,6.22,3.28,2.93,3.22,3.98,2.97,8.45
P28,5.54,2.07,5.49,6.16,4.8,3.79,6.75,4.73,5.31,5.86,3.97,2.83,5.13,5.11,2.94,6.63,4.72,5.31,4.13,4.38,7.86,2.07,4.5,4.89,3.83,4.93,3.83,0.0,4.27,4.71,4.71,4.52,5.97,5.23,5.32,5.62,6.22,5.37,8.01
P29,4.05,3.91,1.21,1.88,3.2,3.06,2.79,2.87,3.95,4.23,0.3,5.94,0.85,2.29,1.72,2.47,0.45,1.04,4.22,2.52,3.7,3.91,4.67,7.34,4.52,7.06,4.52,4.27,0.0,3.17,3.17,2.12,1.7,7.8,7.45,7.74,3.1,7.5,3.93
P30,6.58,4.94,3.91,3.27,0.25,4.81,5.83,5.42,6.45,6.79,3.27,3.73,3.55,1.39,3.22,2.91,2.9,3.74,6.05,5.07,4.07,4.94,6.42,8.55,6.27,8.53,6.27,4.71,3.17,0.0,0.0,4.91,2.53,9.07,8.92,9.21,6.27,8.97,4.29
P31,6.58,4.94,3.91,3.27,0.25,4.81,5.83,5.42,6.45,6.79,3.27,3.73,3.55,1.39,3.22,2.91,2.9,3.74,6.05,5.07,4.07,4.94,6.42,8.55,6.27,8.53,6.27,4.71,3.17,0.0,0.0,4.91,2.53,9.07,8.92,9.21,6.27,8.97,4.29
P32,2.14,3.33,3.33,4.01,4.94,2.12,2.53,0.89,2.14,2.19,2.11,6.27,2.97,4.41,1.98,4.59,2.57,3.16,2.41,0.76,5.82,3.33,2.88,5.95,3.13,5.67,3.13,4.54,2.12,4.91,4.91,0.0,3.82,6.41,6.06,6.35,1.72,6.11,6.05
P33,5.75,5.6,1.57,0.74,2.27,4.76,3.86,4.56,5.65,5.93,2.0,5.3,1.33,1.14,3.41,1.33,1.46,1.48,5.92,4.22,2.56,5.6,6.36,9.04,6.22,8.75,6.22,5.97,1.7,2.53,2.53,3.82,0.0,9.49,9.14,9.44,4.42,9.19,2.72
P34,5.4,4.13,9.01,9.68,9.1,5.15,8.16,5.52,5.17,5.72,7.5,7.11,8.65,9.3,6.59,10.27,8.24,8.84,4.0,5.7,11.49,4.13,4.0,0.67,3.28,0.74,3.28,5.23,7.8,9.07,9.07,6.41,9.49,0.0,1.13,1.12,7.25,1.42,11.72
P35,5.05,3.98,8.66,9.33,8.95,4.8,7.81,5.17,4.82,5.37,7.15,7.2,8.3,9.15,6.24,9.92,7.89,8.49,3.65,5.35,11.14,3.98,3.65,0.73,2.93,0.39,2.93,5.32,7.45,8.92,8.92,6.06,9.14,0.94,0.0,0.29,6.9,0.52,11.37
P36,5.35,4.27,8.95,9.62,9.25,5.1,8.11,5.46,5.12,5.66,7.44,7.41,8.59,9.44,6.53,10.21,8.19,8.78,3.94,5.64,11.44,4.27,3.94,0.97,3.22,0.68,3.22,5.53,7.74,9.21,9.21,6.35,9.44,0.94,0.29,0.0,7.19,0.82,11.67
P37,2.93,5.02,2.98,3.89,6.16,3.31,1.15,1.74,2.98,2.81,2.95,7.99,3.09,5.25,3.7,4.4,3.41,3.01,3.25,1.95,5.63,5.02,3.72,6.8,3.98,6.51,3.98,6.26,2.96,6.13,6.13,1.72,4.42,7.25,6.9,7.19,0.0,6.95,6.42
P38,5.1,4.03,8.71,9.38,9.0,4.85,7.86,5.21,4.87,5.42,7.2,7.25,8.35,9.2,6.29,9.97,7.94,8.53,3.7,5.39,11.19,4.03,3.7,1.04,2.97,0.7,2.97,5.37,7.5,8.97,8.97,6.11,9.19,1.44,0.52,0.82,6.95,0.0,11.42
P39,7.97,7.82,3.58,2.6,4.04,6.97,5.86,6.78,7.86,8.15,4.21,7.07,3.55,2.9,5.63,2.02,3.68,3.61,8.13,6.44,1.93,7.82,8.58,11.26,8.43,10.97,8.43,8.01,3.91,4.29,4.29,6.04,2.72,11.71,11.36,11.65,6.42,11.41,0.0
